;Création des campagnes;;;;;Équipe;;Informations des campagnes;;;;;;;Delivery & Marge du mois en cours;;;;;;;Vue d'ensemble;;;;MAPPING;;;;;
Campagne;Géo;Entité;Stats;Levier;Statut;Affiliate;Account; Budget ;Début;Fin;Model; Rém. Ann. ; Rém. NET. ; Rém. Éditeur ; Marge ;Objectif;Objectif à date; Budget restant ;Objectif à date;Volume restant;Volume réalisé; CA interne ; CA externe ;% Budget;% Temps passé;Annonceur;Marché;Campagne;Verticale;MARGE €;
IT_Mercedes_May2026;IT;DAT;Tracker;Display;Active;Gabin ????;Alexander; 10 000,00 € ;04/05/2026;07/06/2026;CPC; 0,50 € ; 0,50 € ; 0,30 € ;40,00%;20000;10286;1 395,50 €;5 142,86 €;2791;17 209; 8 604,50 € ; 5 162,70 € ;86%;53%;MERCEDES;B2C;;AUTOMOBILE; 3 441,80 € ;
IT_NISSAN - JUKE - May26;IT;DAT;Tracker ;Emailing;Active;Gabin ????;Alexander; 10 000,00 € ;11/05/2026;31/05/2026;CPC; 0,50 € ; 0,50 € ; 0,22 € ;56,00%;20000;10476;-9,00 €;5 238,10 €;9991;10 009; 5 004,50 € ; 2 201,98 € ;50%;55%;NISSAN;B2C;;AUTOMOBILE; 2 802,52 € ;
IT_NISSAN - Micra - May26;IT;DAT;Tracker ;Emailing;Active;Gabin ????;Alexander; 5 000,00 € ;01/05/2026;31/05/2026;CPC; 0,55 € ; 0,55 € ; 0,22 € ;60,00%;9091;6158;-571,00 €;3 387,10 €;3520;5 571; 3 064,05 € ; 1 225,62 € ;61%;70%;NISSAN;B2C;;AUTOMOBILE; 1 838,43 € ;
IT_NISSAN - Qashqai - May26;IT;DAT;Tracker ;Emailing;Active;Gabin ????;Alexander; 11 000,00 € ;05/05/2026;31/05/2026;CPC; 0,50 € ; 0,50 € ; 0,22 € ;56,00%;22000;13852;-1 774,00 €;6 925,93 €;9226;12 774; 6 387,00 € ; 2 810,28 € ;58%;65%;NISSAN;B2C;;AUTOMOBILE; 3 576,72 € ;
IT_NISSAN - X-trail - May26;IT;DAT;Tracker ;Emailing;Active;Gabin ????;Alexander; 11 000,00 € ;06/05/2026;31/05/2026;CPC; 0,50 € ; 0,50 € ; 0,22 € ;56,00%;22000;13538;-2 072,00 €;6 769,23 €;8928;13 072; 6 536,00 € ; 2 875,84 € ;59%;64%;NISSAN;B2C;;AUTOMOBILE; 3 660,16 € ;
IT_OperaSanFrancesco_5x1000_May26;IT;DAT;Tracker ;Emailing;Active;Gabin ????;Alexander; 3 000,00 € ;29/04/2026;31/05/2026;CPL; 0,70 € ; 0,70 € ; 0,30 € ;57,14%;4286;2987;688,60 €;2 090,91 €;984;3 302; 2 311,40 € ; 990,60 € ;77%;72%;OPERA SAN FRANCESCO;B2C;;SERVICES; 1 320,80 € ;
IT_PosteMobile_WOW150_CPC_May26;IT;DAT;Tracker ;Display;Active;Gabin ????;Alexander; 7 000,00 € ;04/05/2026;31/05/2026;CPC; 0,50 € ; 0,50 € ; 0,20 € ;60,00%;14000;9000;1 327,00 €;4 500,00 €;8327;5 673; 2 836,50 € ; 1 134,60 € ;41%;67%;CAROLL;B2C;;RETAIL;;
JEEP - B2B - SOCIAL;FR;CAR;Leadflow;Social;Active;Yanis ????;Estelle; 5 900,00 € ;01/05/2026;31/05/2026;CPL; 100,00 € ; 80,00 € ; 26,11 € ;67,37%;43;40;2 860,00 €;3 996,77 €;5;38; 3 040,00 € ; 992,00 € ;88%;70%;JEEP;B2B;;AUTOMOBILE; 2 048,00 € ;
Jeep Compass B2B - EMAIL;FR;CAR;Leadflow;Emailing;set-up;Vincent ????;Estelle; 2 950,00 € ;04/05/2026;31/05/2026;CPL; 100,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;30;19;2 950,00 €;1 896,43 €;30;; -   € ; -   € ;0%;67%;JEEP;B2B;;AUTOMOBILE; -   € ;
Jeep Compass B2B - EMAIL CC;FR;CAR;Leadflow;Emailing;set-up;Philippe ????;Estelle; 2 950,00 € ;04/05/2026;31/05/2026;CPL; 100,00 € ; 80,00 € ; 40,00 € ;#DIV/0!;30;19;2 950,00 €;1 896,43 €;30;; -   € ; -   € ;0%;67%;JEEP;B2B;;AUTOMOBILE; -   € ;
Jeep Compass B2B - Soutien SOCIAL;FR;CAR;Leadflow;Social;Budget fait;Vincent ????;Estelle; 1 600,00 € ;01/05/2026;30/05/2026;CPL; 100,00 € ; 80,00 € ; 40,00 € ;50,00%;16;11;320,00 €;1 120,00 €;0;16; 1 280,00 € ; 640,00 € ;100%;72%;JEEP;B2B;;AUTOMOBILE;;
KARAVEL FRAM - COREG;FR;ADV;Leadflow;Coreg;Active;Vincent ????;Carolane; 6 736,05 € ;05/05/2026;30/05/2026;CPL; 0,45 € ; 0,45 € ; 0,25 € ;44,44%;14969;9787;2 899,80 €;4 404,34 €;6444;8 525; 3 836,25 € ; 2 131,25 € ;57%;68%;FRAM;B2C;;TRAVEL; 1 705,00 € ;
KARAVEL PMVC - COREG;FR;ADV;Leadflow;Coreg;Active;Vincent ????;Carolane; 3 430,35 € ;05/05/2026;31/05/2026;CPL; 0,45 € ; 0,45 € ; 0,20 € ;46,73%;7623;4800;102,15 €;2 159,85 €;227;7 396; 3 328,20 € ; 1 773,00 € ;97%;65%;PMVC;B2C;;TRAVEL; 1 555,20 € ;
Kena - ITALY - SOCIAL;IT;DAT;Leadflow;Social;Active;Yanis ????;Alexander; 2 250,00 € ;01/05/2026;31/05/2026;CPL; 6,00 € ; 6,00 € ; 2,59 € ;56,88%;375;254;1 872,00 €;1 524,19 €;312;63; 378,00 € ; 163,00 € ;17%;70%;MAZDA;;;AUTOMOBILE; 215,00 € ;
Lafuma Mobilier mai-juin;FR;CAR;Tracker ;Emailing;set-up;Murah ????;Guillaume; 7 000,00 € ;20/05/2026;21/06/2026;CPC; 0,40 € ; 0,40 € ; 0,20 € ;#DIV/0!;17500;1061;7 000,00 €;424,24 €;17500;; -   € ; -   € ;0%;6%;PARFUMERIE BURDIN;B2C;;BEAUTÉ & MODE; -   € ;
LafumaMobilier DE Avril Mai 26;DE;ADV;Tracker;Emailing;Budget fait;Murah ????;Guillaume; 3 000,00 € ;17/04/2026;17/05/2026;CPC; 0,60 € ; 0,60 € ; 0,40 € ;33,33%;5000;5645;-21,60 €;3 387,10 €;-36;5 036; 3 021,60 € ; 2 014,40 € ;101%;Finie;CLUB MED;B2C;;TRAVEL; 1 007,20 € ;
LafumaMobilier FR Partie 2;FR;ADV;Tracker ;Emailing;budget fait;Murah ????;Guillaume; 10 000,00 € ;17/04/2026;17/05/2026;CPC; 0,40 € ; 0,40 € ; 0,20 € ;67,65%;25000;28226;-15 000,00 €;11 290,32 €;0;25 000; 10 000,00 € ; 3 235,00 € ;100%;Finie;LAFUMA MOBILIER;B2C;;SERVICES; 6 765,00 € ;INVALID
Leapmotor EMAIL;FR;CAR;Tracker ;Emailing;Active;Vincent ????;Estelle; 1 912,50 € ;15/05/2026;31/05/2026;CPL; 45,00 € ; 36,00 € ; 22,00 € ;38,89%;43;18;544,50 €;787,50 €;5;38; 1 368,00 € ; 836,00 € ;89%;44%;LEAPMOTOR;B2C;T03 B10 C10;AUTOMOBILE;;
Leapmotor EMAIL CC;FR;CAR;Tracker ;Emailing;Active;Philippe ????;Estelle; 1 912,50 € ;15/05/2026;31/05/2026;CPL; 45,00 € ; 36,00 € ; 7,50 € ;79,17%;43;18;1 228,50 €;787,50 €;24;19; 684,00 € ; 142,50 € ;45%;44%;LEAPMOTOR;B2C;T03 B10 C10;AUTOMOBILE;;
LEXUS LBX EMAIL;FR;CAR;Tracker ;Emailing;Active;Vincent ????;Manon; 2 850,00 € ;05/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 25,00 € ;50,00%;57;36;100,00 €;1 794,44 €;2;55; 2 750,00 € ; 1 375,00 € ;96%;65%;LEXUS;B2C;LBX;AUTOMOBILE;;
LEXUS LBX EMAIL CC;FR;CAR;Tracker ;Emailing;Active;Philippe ????;Manon; 1 000,00 € ;05/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 7,50 € ;85,00%;20;13;50,00 €;629,63 €;1;19; 950,00 € ; 142,50 € ;95%;65%;LEXUS;B2C;LBX;AUTOMOBILE;;
LEXUS LBX SOCIAL;FR;CAR;Tracker ;Social;En Pause;Yanis ????;Manon; 2 825,00 € ;01/05/2026;31/05/2026;CPL; 50,00 € ; 50,00 € ; 76,00 € ;-52,00%;57;38;1 975,00 €;1 913,71 €;40;17; 850,00 € ; 1 292,00 € ;30%;70%;LEXUS;B2C;LBX;AUTOMOBILE;;
Lexus RZ x SSP - LVA - SOCIAL ;FR;CAR;Leadflow;Social;Budget Fait;Yanis ????;Manon; 195,00 € ;01/05/2026;31/05/2026;CPL; 65,00 € ; 65,00 € ; 32,59 € ;49,86%;3;2;185,00 €;132,10 €;-7;10; 650,00 € ; 325,90 € ;333%;70%;LEXUS;B2C;RZ;AUTOMOBILE; 324,10 € ;
MARQUETIS - GUILLAUME - SOCIAL_SIMPLISSIME;FR;CAR;Leadflow;Social;Budget non-atteint;Yanis ????;Guillaume; 15 000,00 € ;01/05/2026;15/05/2026;CPL; 60,00 € ; 60,00 € ; 37,49 € ;37,51%;250;350;11 160,00 €;21 000,00 €;186;64; 3 840,00 € ; 2 399,64 € ;26%;Finie;MARQUETIS;B2B;;SERVICES; 1 440,36 € ;
MARQUETIS - GUILLAUME - SOCIAL_VO-VN;FR;CAR;Leadflow;Social;Active;Yanis ????;Guillaume; 15 000,00 € ;01/05/2026;31/05/2026;CPL; 60,00 € ; 60,00 € ; 21,44 € ;64,27%;436;169;6 360,00 €;10 161,29 €;292;144; 8 640,00 € ; 3 087,00 € ;33%;70%;MARQUETIS;B2B;;SERVICES; 5 553,00 € ;
MAZDA - 3 - ITALY - SNAPCHAT;IT;DAT;Leadflow;Social;Set-up;Yanis ????;Alexander;;01/05/2026;31/05/2026;CPL; 33,00 € ; 33,00 € ;#DIV/0!;#DIV/0!;20;0;0,00 €;0,00 €;20;0; -   € ; -   € ;0%;70%;MAZDA;;;AUTOMOBILE; -   € ;
MAZDA - 3 - ITALY - SOCIAL;IT;DAT;Leadflow;Social;Active;Yanis ????;Alexander; 1 650,00 € ;01/05/2026;31/05/2026;CPL; 33,00 € ; 33,00 € ; 15,84 € ;51,99%;30;34;1 023,00 €;1 117,74 €;11;19; 627,00 € ; 301,00 € ;63%;70%;MAZDA;;;AUTOMOBILE; 326,00 € ;
MAZDA - CX-30 - ITALY - SOCIAL;IT;DAT;Leadflow;Social;Budget fait;Yanis ????;Alexander; 7 920,00 € ;01/05/2026;31/05/2026;CPL; 33,00 € ; 33,00 € ; 13,33 € ;59,61%;300;163;-2 937,00 €;5 365,16 €;-29;329; 10 857,00 € ; 4 385,06 € ;110%;70%;MAZDA;;;AUTOMOBILE; 6 471,94 € ;
MIATEL - ESPAGNE - B2B;ES;CAR;Leadflow;Social;En Pause;Yanis ????;Malu; 1 200,00 € ;01/05/2026;31/05/2026;CPL; 18,00 € ; 30,00 € ; 210,75 € ;-602,50%;67;45;1 170,00 €;812,90 €;66;1; 30,00 € ; 210,75 € ;2%;70%;MIATEL;;;TÉLÉCOM;-180,75 € ;
Mini Cooper 3 portes Emailing CPC Avril 2026 (F66);FR;CAR;Tracker ;Emailing;Active;Vincent ????;Estelle; 5 423,00 € ;04/05/2026;31/05/2026;CPC; 0,80 € ; 0,64 € ; 0,30 € ;81,15%;6779;4358;-562,00 €;3 486,21 €;794;5 985; 3 830,40 € ; 722,00 € ;88%;67%;MINI;B2C;F66;AUTOMOBILE;;SET
Mini Cooper 5 portes Emailing CPC Avril 2026 (F65);FR;CAR;Tracker ;Emailing;Active;Vincent ????;Estelle; 11 633,67 € ;04/05/2026;30/06/2026;CPC; 0,80 € ; 0,64 € ; 0,30 € ;67,65%;14542;4513;4 267,67 €;3 610,45 €;7176;7 366; 4 714,24 € ; 1 525,00 € ;51%;32%;MINI;B2C;F65;AUTOMOBILE;;
Mini Cooper Electric Emailing CPC Avril 2026 (J01);FR;CAR;Tracker ;Emailing;Active;Vincent ????;Estelle; 4 373,00 € ;04/05/2026;31/05/2026;CPC; 0,80 € ; 0,64 € ; 0,30 € ;75,95%;5466;3514;-383,00 €;2 811,21 €;710;4 756; 3 043,84 € ; 732,00 € ;87%;67%;MINI;B2C;J01;AUTOMOBILE;;
Mini Countryman Electric Emailing CPC Avril 2026 (U25E);FR;CAR;Tracker ;Emailing;Budget fait;Vincent ????;Estelle; 3 534,00 € ;04/05/2026;31/05/2026;CPC; 0,80 € ; 0,64 € ; 0,30 € ;57,84%;4418;2840;-884,00 €;2 271,86 €;-1;4 418; 2 827,52 € ; 1 192,00 € ;100%;67%;MINI;B2C;U25E;AUTOMOBILE;;
Mini Countryman Emailing CPC Avril 2026 (U25);FR;CAR;Tracker ;Emailing;Active;Vincent ????;Estelle; 19 193,00 € ;04/05/2026;30/06/2026;CPC; 0,80 € ; 0,64 € ; 0,30 € ;61,84%;23991;7446;11 589,00 €;5 956,45 €;16387;7 604; 4 866,56 € ; 1 857,00 € ;32%;32%;MINI;B2C;U25;AUTOMOBILE;;
Morgan Mania BOOSTER;FR;CAR;Tracker ;Emailing;budget fait;Murah ????;Estelle; 3 400,00 € ;24/04/2026;05/05/2026;CPC; 0,26 € ; 0,26 € ; 0,27 € ;-3,32%;13077;30513;-23,42 €;7 933,33 €;-90;13 167; 3 423,42 € ; 3 537,00 € ;101%;Finie;MORGAN;B2C;;BEAUTÉ & MODE;-113,58 € ;
MORGAN OUTLET;FR;ADV;Tracker;Emailing;Active;Murah ????;Estelle; 1 600,00 € ;23/05/2026;24/05/2026;CPC; 0,27 € ; 0,27 € ; 0,18 € ;#DIV/0!;5926;-2963;1 600,00 €;-800,00 €;5926;0; -   € ; -   € ;0%;-100%;;B2C;;;;
NISSAN - MICRA - ITALY - SOCIAL;IT;CAR;Leadflow;Social;Active;Yanis ????;Alexander; 2 025,00 € ;01/05/2026;31/05/2026;CPL; 30,00 € ; 30,00 € ; 56,14 € ;-87,14%;35;46;1 815,00 €;1 371,77 €;28;7; 210,00 € ; 393,00 € ;20%;70%;NISSAN;B2C;;AUTOMOBILE;-183,00 € ;
NISSAN - QASHQAI - ITALY - SOCIAL;IT;DAT;Leadflow;Social;Active;Yanis ????;Alexander; 1 485,00 € ;01/05/2026;31/05/2026;CPL; 33,00 € ; 27,00 € ; 11,16 € ;58,67%;55;30;459,00 €;1 005,97 €;17;38; 1 026,00 € ; 424,00 € ;69%;70%;;;;;;
NISSAN JUKE EMAIL;FR;CAR;Tracker ;Emailing;Budget fait;Vincent ????;Manon; 3 240,00 € ;01/05/2026;31/05/2026;CPL; 45,00 € ; 45,00 € ; 20,00 € ;55,56%;72;49;-90,00 €;2 194,84 €;-2;74; 3 330,00 € ; 1 480,00 € ;103%;70%;NISSAN;B2C;JUKE;AUTOMOBILE;;
NISSAN JUKE EMAIL CC;FR;CAR;Tracker ;Emailing;Budget fait;Philippe ????;Manon; 1 620,00 € ;01/05/2026;31/05/2026;CPL; 45,00 € ; 45,00 € ; 7,50 € ;83,33%;36;24;315,00 €;1 097,42 €;7;29; 1 305,00 € ; 217,50 € ;81%;70%;NISSAN;B2C;JUKE;AUTOMOBILE;;
NISSAN JUKE SOCIAL;FR;CAR;Tracker ;Social;Active;Yanis ????;Manon; 1 620,00 € ;01/05/2026;31/05/2026;CPL; 45,00 € ; 45,00 € ; 28,79 € ;36,03%;36;24;990,00 €;1 097,42 €;22;14; 630,00 € ; 403,00 € ;39%;70%;NISSAN;B2C;JUKE;AUTOMOBILE;;
OPEL VP Reprise SOCIAL;FR;CAR;Leadflow;Social;Budget fait;Yanis ????;Estelle; 11 920,00 € ;01/05/2026;31/05/2026;CPL; 40,00 € ; 32,00 € ; 8,36 € ;73,88%;159;202;11 754,00 €;8 074,84 €;-7;166; 5 312,00 € ; 1 387,50 € ;104%;70%;OPEL;B2C;VP;AUTOMOBILE;;
OPEL VP SOCIAL;FR;CAR;Leadflow;Social;Active;Yanis ????;Estelle; 6 345,00 € ;01/05/2026;31/05/2026;CPL; 40,00 € ; 32,00 € ; 6,28 € ;80,38%;298;107;6 124,00 €;4 298,23 €;77;221; 7 072,00 € ; 1 387,50 € ;74%;70%;OPEL;B2C;VP;AUTOMOBILE;;
Parfumerie Burdin - fête des mères;FR;CAR;Tracker ;Emailing;Active;Murah ????;Manon; 3 999,84 € ;15/05/2026;29/05/2026;CPC; 0,39 € ; 0,39 € ; 0,15 € ;61,54%;10256;4786;691,86 €;1 866,59 €;1774;8 482; 3 307,98 € ; 1 272,30 € ;83%;50%;PARFUMERIE BURDIN;B2C;;BEAUTÉ & MODE; 2 035,68 € ;
PEUGEOT 408 - B2C - SOCIAL;FR;CAR;Leadflow;Social;Active;Yanis ????;Estelle; 16 320,00 € ;12/05/2026;19/05/2026;CPL; 40,00 € ; 32,00 € ; 28,20 € ;11,88%;408;510;15 360,00 €;20 400,00 €;378;30; 960,00 € ; 846,00 € ;7%;Finie;PEUGEOT;B2C;408;AUTOMOBILE; 114,00 € ;
Peugeot 408 - B2C Email;FR;CAR;Leadflow;Emailing;Budget fait;Vincent ????;Estelle; 8 000,00 € ;11/05/2026;31/05/2026;CPL; 40,00 € ; 32,00 € ; 20,00 € ;68,32%;200;105;32,00 €;4 190,48 €;-49;249; 7 968,00 € ; 2 524,00 € ;125%;55%;PEUGEOT;B2C;408;AUTOMOBILE; 5 444,00 € ;
Peugeot 408 - B2C Email CC;FR;CAR;Leadflow;Emailing;Active;Philippe ????;Estelle; 4 000,00 € ;14/05/2026;31/05/2026;CPL; 40,00 € ; 32,00 € ; 7,50 € ;76,56%;100;44;1 792,00 €;1 777,78 €;31;69; 2 208,00 € ; 517,50 € ;69%;47%;PEUGEOT;B2C;408;AUTOMOBILE; 1 690,50 € ;
Peugeot 408 - B2C Emul;FR;CAR;Leadflow;Emulation;Active;Vincent ????;Estelle; 12 320,00 € ;14/05/2026;31/05/2026;CPL; 40,00 € ; 32,00 € ; 20,00 € ;37,50%;308;137;9 280,00 €;5 475,56 €;213;95; 3 040,00 € ; 1 900,00 € ;31%;47%;PEUGEOT;B2C;408;AUTOMOBILE; 1 140,00 € ;
PEUGEOT B2B VP;FR;CAR;Leadflow;Emulation;Active;Vincent ????;Estelle; 10 150,00 € ;01/05/2026;30/05/2026;CPL; 70,00 € ; 56,00 € ; 40,00 € ;28,57%;145;102;4 494,00 €;7 105,00 €;44;101; 5 656,00 € ; 4 040,00 € ;70%;72%;PEUGEOT;B2B;VP;AUTOMOBILE;;
PEUGEOT B2B VU;FR;CAR;Leadflow;Emulation;Active;Vincent ????;Estelle; 10 150,00 € ;18/05/2026;30/05/2026;CPL; 85,00 € ; 68,00 € ; 40,00 € ;41,18%;119;37;7 022,00 €;3 123,08 €;73;46; 3 128,00 € ; 1 840,00 € ;39%;33%;PEUGEOT;B2B;VU;AUTOMOBILE;;
PEUGEOT B2B VU Social;FR;CAR;Leadflow;Social;Active;Yanis ????;Estelle; 12 750,00 € ;01/05/2026;31/05/2026;CPL; 85,00 € ; 68,00 € ; 75,26 € ;-10,68%;150;102;11 390,00 €;8 637,10 €;130;20; 1 360,00 € ; 1 505,20 € ;13%;70%;PEUGEOT;B2B;VU;AUTOMOBILE;;
POLESTAR - SOCIAL;FR;CAR;Leadflow;Social;Active;Yanis ????;Manon; 28 140,00 € ;01/05/2026;31/05/2026;CPL; 70,00 € ; 70,00 € ; 16,48 € ;76,45%;402;272;27 949,00 €;19 062,58 €;211;191; 13 370,00 € ; 3 148,00 € ;48%;70%;POLESTAR;B2B;POLESTAR4;AUTOMOBILE;;
Polestar B2B EMAIL;FR;CAR;Leadflow;Emailing;Set-up;Vincent ????;Manon; 18 000,00 € ;;30/05/2026;CPL;;;;#DIV/0!;#DIV/0!;#DIV/0!;18 000,00 €;17 996,49 €;#DIV/0!;1; -   € ; -   € ;#DIV/0!;100%;POLESTAR;B2B;POLESTAR4;AUTOMOBILE;;
PONANT - Opération Mai 2025;FR;ADV;Report;Emailing;Active;Sammy ????;Carolane; 9 499,00 € ;19/05/2026;31/05/2026;CPC; 0,70 € ; 0,70 € ; 0,30 € ;57,14%;13570;3132;6 420,40 €;2 192,08 €;9172;4 398; 3 078,60 € ; 1 319,40 € ;32%;25%;;;;;;
PSG COREG;FR;CAR;Leadflow;Coreg;Set-up;Vincent ????;; 6 000,00 € ;;30/05/2026;CPL; 0,40 € ; 0,40 € ; 0,20 € ;50,00%;15000;14997;5 999,60 €;5 998,83 €;14999;1; 0,40 € ; 0,20 € ;0%;100%;PSG;B2C;;;;
REDbySFR COREG;FR;CAR;Leadflow;Coreg;Budget fait;Vincent ????;Carolane; 2 000,00 € ;08/05/2026;30/05/2026;CPL; 0,70 € ; 0,70 € ; 0,35 € ;50,00%;2857;1739;3,60 €;1 217,39 €;5;2 852; 1 996,40 € ; 998,20 € ;100%;64%;REDbySFR;B2C;COREG;TÉLÉCOM; 998,20 € ;
Rene Furterer;FR;CAR;Leadflow;Coreg;Set-up;Vincent ????;Manon; 18 500,00 € ;;;;;;;#DIV/0!;#DIV/0!;#DIV/0!;15 000,00 €;18 500,00 €;#DIV/0!;;;;;;;;;;;
Saily;FR;ADV;Tracker;Emailing;Active;Murah ????;Carolane; 2 000,00 € ;04/05/2026;31/05/2026;CPC; 0,50 € ; 0,50 € ; 0,25 € ;50,00%;4000;2571;1 407,50 €;1 285,71 €;2815;1 185; 592,50 € ; 296,25 € ;30%;67%;SAILY;B2C;;SERVICES; 296,25 € ;
Saveurs & Vie - SOCIAL;FR;CAR;Leadflow;Social;Budget fait;Yanis ????;Carolane; 2 366,00 € ;01/05/2026;31/05/2026;CPL; 3,50 € ; 3,50 € ; 1,81 € ;48,34%;676;458;1 657,00 €;1 602,77 €;-33;709; 2 481,50 € ; 1 282,00 € ;105%;70%;SAVEURS & VIE;B2C;;RETAIL; 1 199,50 € ;
SFR - S26 - EMAILING;FR;ADV;Tracker ;Emailing;Budget fait;Sammy ????;Carolane; 5 000,00 € ;;30/05/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;51,26%;5556;5554;15 000,00 €;4 999,03 €;0;5 556; 5 000,40 € ; 2 437,00 € ;100%;100%;SFR;B2C;S26;;;
SFR COREG;FR;CAR;Leadflow;Coreg;Budget fait;Vincent ????;Carolane; 2 000,00 € ;08/05/2026;30/05/2026;CPL; 0,70 € ; 0,70 € ; 0,35 € ;50,00%;2857;1739;3,60 €;1 217,39 €;5;2 852; 1 996,40 € ; 998,20 € ;100%;64%;SFR;B2C;COREG;TÉLÉCOM; 998,20 € ;check stat
SFR- trade samsung;FR;ADV;Tracker;Emailing;budget fait;Sammy ????;Manon; 5 000,00 € ;15/05/2026;18/05/2026;CPC; 0,90 € ; 0,90 € ; 0,41 € ;96,51%;5556;9722;-925,60 €;8 750,00 €;-1028;6 584; 5 925,60 € ; 207,00 € ;119%;Finie;;;;;;
SG Résiduel;FR;ADV;Tracker ;Emailing;budget fait;Vincent ????;Carolane;;01/05/2026;05/05/2026;CPL; 40,00 € ; 40,00 € ; 20,00 € ;54,62%;0;0;-19,00 €;0,00 €;-19;19; 930,00 € ; 422,00 € ;#DIV/0!;Finie;SG;;;;;
SOTYSOLAR - SOCIAL;ES;DAT;Leadflow;Social;En pause;Yanis ????;Malu; 2 850,00 € ;01/05/2026;31/05/2026;CPL; 25,00 € ; 19,00 € ; 2,67 € ;85,96%;114;77;1 995,00 €;1 930,65 €;69;45; 855,00 € ; 120,00 € ;39%;70%;;;;;;
SUZUKI EMAILING;FR;CAR;Leadflow;Emailing;Set-up;Vincent ????;Estelle; 3 750,00 € ;;30/05/2026;CPL; 50,00 € ; 50,00 € ; 25,00 € ;#DIV/0!;75;75;3 750,00 €;3 749,27 €;75;0; -   € ; -   € ;0%;100%;SUZUKI;B2C;;AUTOMOBILE;;
SUZUKI EMAILING CC;FR;CAR;Leadflow;Emailing;Set-up;Philippe ????;Estelle; 3 750,00 € ;;31/05/2026;CPL; 50,00 € ; 50,00 € ; 7,50 € ;#DIV/0!;75;75;3 750,00 €;3 749,19 €;75;0; -   € ; -   € ;0%;100%;SUZUKI;B2C;;AUTOMOBILE;;
SVR Emailing CPC DE Avril/Mai 2026;DE;CAR;Tracker;Emailing;pause;Murah ????;Manon; 3 000,00 € ;27/04/2026;09/05/2026;CPC; 0,80 € ; 0,80 € ; 0,45 € ;43,75%;3750;7212;2 043,20 €;5 769,23 €;2554;1 196; 956,80 € ; 538,20 € ;32%;Finie;;;;;;
TopOrder - SOCIAL;FR;CAR;Leadflow;Social;Active;Yanis ????;Guillaume; 11 000,00 € ;01/05/2026;31/05/2026;CPL; 55,00 € ; 55,00 € ; 68,10 € ;-23,82%;200;135;7 095,00 €;7 451,61 €;200;71; 3 905,00 € ; 4 835,00 € ;36%;70%;;;;;;
TOYOTA GROUPM AYGO X;FR;CAR;Tracker;Emailing;Budget fait;Vincent ????;Manon; 1 200,00 € ;06/05/2026;30/05/2026;CPL; 40,00 € ; 40,00 € ; 20,00 € ;72,41%;30;19;40,00 €;768,00 €;1;29; 1 160,00 € ; 320,00 € ;97%;67%;TOYOTA;B2C;AYGO X;AUTOMOBILE;;
TOYOTA GROUPM AYGO X EMAIL CC;FR;CAR;Tracker;Emailing;Budget fait;Philippe ????;Manon; 1 200,00 € ;06/05/2026;30/05/2026;CPL; 40,00 € ; 40,00 € ; 7,50 € ;81,25%;30;19;0,00 €;768,00 €;0;30; 1 200,00 € ; 225,00 € ;100%;67%;TOYOTA;B2C;AYGO X;AUTOMOBILE;;
TOYOTA GROUPM YARIS;FR;CAR;Tracker;Emailing;Budget fait;Vincent ????;Manon; 1 500,00 € ;06/05/2026;30/05/2026;CPL; 40,00 € ; 40,00 € ; 20,00 € ;62,21%;38;24;140,00 €;960,00 €;4;34; 1 360,00 € ; 514,00 € ;91%;67%;TOYOTA;B2C;YARIS;AUTOMOBILE;;
TOYOTA GROUPM YARIS EMAIL CC;FR;CAR;Tracker;Emailing;Budget fait;Philippe ????;Manon; 1 500,00 € ;06/05/2026;30/05/2026;CPL; 40,00 € ; 40,00 € ; 7,50 € ;81,25%;38;24;-140,00 €;960,00 €;-4;41; 1 640,00 € ; 307,50 € ;109%;67%;TOYOTA;B2C;YARIS;AUTOMOBILE;;
Vacances Lagrange_T1 0526;FR;ADV;Tracker;Emailing;Budget fait;Sammy ????;Manon; 1 600,00 € ;01/05/2026;11/05/2026;CPC; 0,60 € ; 0,60 € ; 0,25 € ;67,52%;2667;5091;-120,80 €;3 054,55 €;-201;2 868; 1 720,80 € ; 559,00 € ;108%;Finie;VACANCES LAGRANGE;B2C;;TRAVEL; 1 161,80 € ;
Vacances Lagrange_T2 0526;FR;ADV;Tracker;Emailing;Budget fait;Sammy ????;Manon; 1 200,00 € ;11/05/2026;19/05/2026;CPC; 0,60 € ; 0,60 € ; 0,25 € ;87,30%;2000;2444;-429,60 €;1 466,67 €;-716;2 716; 1 629,60 € ; 207,00 € ;136%;Finie;VACANCES LAGRANGE;B2C;;TRAVEL; 1 422,60 € ;
Vacances Lagrange_T2 0526;FR;ADV;Tracker;Emailing;Budget fait;Sammy ????;Manon; 1 200,00 € ;09/05/2026;15/04/2026;CPC; 0,60 € ; 0,60 € ; 0,25 € ;#DIV/0!;2000;-1130;1 200,00 €;-678,26 €;2000;; -   € ; -   € ;0%;-54%;VACANCES LAGRANGE;B2C;;TRAVEL; -   € ;
