;Création des campagnes;;;;;Équipe;;Informations des campagnes;;;;;;;Delivery & Marge du mois en cours;;;;;;;Vue d'ensemble;;;;MAPPING;;;;;
Campagne;Géo;Entité;Stats;Levier;Statut;Affiliate;Account; Budget ;Début;Fin;Model; Rém. Ann. ; Rém. NET. ; Rém. Éditeur ; Marge ;Objectif;Objectif à date; Budget restant ;Objectif à date;Volume restant;Volume réalisé; CA interne ; CA externe ;% Budget;% Temps passé;Annonceur;Marché;Campagne;Verticale;MARGE €;
Citroen B2B VU EMAIL CC;FR;CAR;Admin;Emailing;Active;Philippe ????;Estelle; 2 210,00 € ;;31/05/2026;CPL; 85,00 € ; 68,00 € ; 25,00 € ;63,24%;26;26;2 181,00 €;2 209,52 €;-3;29; 1 972,00 € ; 725,00 € ;112%;100%;CITROEN;B2B;VU;AUTOMOBILE;;
Citroen B2B VU SOCIAL;FR;CAR;Admin;Emulation;Active;Yanis ????;Estelle; 8 500,00 € ;01/05/2026;31/05/2026;CPL; 85,00 € ; 68,00 € ; 7,08 € ;89,59%;100;68;8 475,00 €;5 758,06 €;75;25; 1 700,00 € ; 177,00 € ;25%;70%;CITROEN;B2B;VU;AUTOMOBILE;;
Citroen C5 AIRCROSS EMAILING;FR;CAR;Admin;Emailing;Active;Vincent ????;Estelle; 37 500,00 € ;06/05/2026;20/06/2026;CPL; 50,00 € ; 40,00 € ; 20,00 € ;58,86%;750;261;27 180,00 €;13 043,48 €;492;258; 10 320,00 € ; 4 246,00 € ;34%;36%;CITROEN;B2C;C5 AIRCROSS;AUTOMOBILE;;
Citroen C5 AIRCROSS EMAILING CC;FR;CAR;Admin;Emailing;Active;Philippe ????;Estelle; 15 000,00 € ;06/05/2026;30/06/2026;CPL; 50,00 € ; 40,00 € ; 7,50 € ;81,25%;300;86;12 040,00 €;4 285,71 €;226;74; 2 960,00 € ; 555,00 € ;25%;29%;CITROEN;B2C;C5 AIRCROSS;AUTOMOBILE;;
Club Med;FR;CAR;Tracker ;Emailing;Active;Sammy ????;Guillaume; 32 500,00 € ;19/05/2026;02/06/2026;CPC; 0,65 € ; 0,65 € ; 0,30 € ;53,85%;50000;10000;28 445,95 €;6 500,00 €;43763;6 237; 4 054,05 € ; 1 871,10 € ;12%;21%;;;;;;
Club Med BE FL EML Mai 26;BEFL;ADV;Tracker;Emailing;Active;Gabin ????;Guillaume; 4 750,00 € ;20/05/2026;02/06/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;5278;754;4 157,80 €;678,57 €;4620;658; 592,20 € ; 296,10 € ;12%;15%;CLUB MED;B2C;;TRAVEL; 296,10 € ;
Club Med BE FR EML Mai 26;BEFR;ADV;Tracker;Emailing;Active;Gabin ????;Guillaume; 5 750,00 € ;19/05/2026;02/06/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;6389;1278;4 058,90 €;1 150,00 €;4510;1 879; 1 691,10 € ; 845,55 € ;29%;21%;CLUB MED;B2C;;TRAVEL; 845,55 € ;
Club Med CA EML Mai 26;CA;ADV;Tracker;Emailing;Set-up;Gabin ????;Guillaume; 6 255,00 € ;01/06/2026;31/07/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;#DIV/0!;6950;-1139;6 255,00 €;-1 025,41 €;6950;0; -   € ; -   € ;0%;-17%;CLUB MED;B2C;;TRAVEL; -   € ;
Club Med CH EML Mai 26;CH;ADV;Tracker;Emailing;Active;Gabin ????;Guillaume; 3 000,00 € ;20/05/2026;02/06/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;3333;476;2 990,10 €;428,57 €;3322;11; 9,90 € ; 4,95 € ;0%;15%;CLUB MED;B2C;;TRAVEL; 4,95 € ;
Club Med HP DE;FR;ADV;Tracker;Emailing;budget fait;Murah ????;Guillaume; 5 950,00 € ;29/04/2026;13/05/2026;CPM;;;;#DIV/0!;#DIV/0!;#DIV/0!;5 950,00 €;9 123,33 €;#DIV/0!;2; -   € ; -   € ;#DIV/0!;Finie;CLUB MED;B2C;;TRAVEL; -   € ;
Club Med HP UK;FR;ADV;Tracker;Emailing;budget fait;Murah ????;Guillaume; 5 483,00 € ;29/04/2026;13/05/2026;CPM;;;;#DIV/0!;#DIV/0!;#DIV/0!;5 483,00 €;8 407,27 €;#DIV/0!;1; -   € ; -   € ;#DIV/0!;Finie;CLUB MED;B2C;;TRAVEL; -   € ;
Club Med IT Avril Mai 26;IT;ADV;Tracker;Emailing;Budget fait;Gabin ????;Guillaume; 4 750,00 € ;29/04/2026;13/05/2026;CPM; 8,00 € ; 8,00 € ; 4,00 € ;50,00%;594;910;30,00 €;7 283,33 €;4;590; 4 720,00 € ; 2 360,00 € ;99%;Finie;CLUB MED;B2C;;TRAVEL; 2 360,00 € ;
Club Med NL EML Mai 26;NL;ADV;Tracker;Emailing;Active;Gabin ????;Guillaume; 2 750,00 € ;20/05/2026;02/06/2026;CPC; 0,90 € ; 0,80 € ; 0,40 € ;44,44%;3056;437;2 730,00 €;392,86 €;3031;25; 20,00 € ; 10,00 € ;1%;15%;CLUB MED;B2C;;TRAVEL; 10,00 € ;
Club Med UK Avril Mai 26;UK;ADV;Tracker;Emailing;Budget non-atteint;Gabin ????;Guillaume; 9 800,00 € ;29/04/2026;13/05/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;10889;16696;840,50 €;15 026,67 €;934;9 955; 8 959,50 € ; 4 479,75 € ;91%;Finie;CLUB MED;B2C;;TRAVEL; 4 479,75 € ;
Club Med UK EML Mai 26;UK;ADV;Tracker;Emailing;Active;Gabin ????;Guillaume; 7 961,00 € ;19/05/2026;02/06/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;8846;1769;5 756,00 €;1 592,20 €;6396;2 450; 2 205,00 € ; 1 102,50 € ;28%;21%;CLUB MED;B2C;;TRAVEL; 1 102,50 € ;
Club Med US Mai 26;US;ADV;Tracker;Emailing;Budget non-atteint;Gabin ????;Guillaume; 3 250,00 € ;05/05/2026;19/05/2026;CPC; 0,90 € ; 0,90 € ; 0,45 € ;50,00%;3611;4093;359,20 €;3 683,33 €;399;3 212; 2 890,80 € ; 1 445,40 € ;89%;Finie;CLUB MED;B2C;;TRAVEL; 1 445,40 € ;
COSTA FR;FR;DAT;Tracker ;Emailing;Active;Sammy ????;Alexander; 5 000,00 € ;13/05/2026;30/05/2026;CPC; 1,00 € ; 1,00 € ; 0,20 € ;51,90%;5000;2500;1 133,00 €;2 500,00 €;1133;3 867; 3 867,00 € ; 1 860,00 € ;77%;53%;;;;;;
Decathlon P3 été;FR;CAR;Tracker ;Emailing;Active;Murah ????;Guillaume; 33 200,00 € ;25/05/2026;26/07/2026;CPC; 0,40 € ; 0,40 € ; 0,20 € ;#DIV/0!;83000;-3952;33 200,00 €;-1 580,95 €;83000;; -   € ; -   € ;0%;-5%;;;;;;
Dessange - SOCIAL;FR;CAR;Leadflow;Social;Set-up;Yanis ????;Carolane; 15 000,00 € ;12/05/2026;23/05/2026;CPL; 1,50 € ; 1,50 € ;#DIV/0!;#DIV/0!;10000;;;;;;;;;;;;;;;
